Cp1252,,
Domain,UniqueName,visibleOnUI
unspsc,411119,true
unspsc,411121,true
unspsc,411122,true
unspsc,411123,true
unspsc,411124,true
unspsc,411125,true
unspsc,411126,true
unspsc,411128,true
unspsc,411129,true
unspsc,411130,true
unspsc,411131,true
unspsc,411133,true
unspsc,411136,true
unspsc,411137,true
unspsc,411145,true
unspsc,411146,true
unspsc,411147,true
unspsc,411152,true
unspsc,411153,true
unspsc,411154,true
unspsc,411155,true
unspsc,411156,true
unspsc,411157,true
unspsc,411158,true
unspsc,411160,true
unspsc,411161,true
unspsc,411163,true
unspsc,411164,true
unspsc,411165,true
unspsc,411215,true
unspsc,411216,true
unspsc,411217,true
unspsc,411218,true
unspsc,411220,true
unspsc,411222,true
unspsc,411223,true
unspsc,411224,true
unspsc,411225,true
unspsc,411226,true
unspsc,411227,true
unspsc,411228,true
unspsc,411230,true
unspsc,411232,true
unspsc,411233,true
unspsc,421316,true
unspsc,421322,true
unspsc,421418,true
unspsc,421423,true
unspsc,421429,true
unspsc,421719,true
unspsc,421721,true
unspsc,421722,true
unspsc,421815,true
unspsc,421816,true
unspsc,421821,true
unspsc,421824,true
unspsc,421826,true
unspsc,421829,true
unspsc,421915,true
unspsc,421919,true
unspsc,421924,true
unspsc,422018,true
unspsc,422117,true
unspsc,422119,true
unspsc,422320,true
unspsc,422416,true
unspsc,422418,true
unspsc,422618,true
unspsc,422716,true
unspsc,422719,true
unspsc,422720,true
unspsc,422816,true
unspsc,422817,true
unspsc,422923,true
unspsc,422924,true
unspsc,422925,true
unspsc,422945,true
unspsc,423015,true
unspsc,423115,true
unspsc,423117,true
unspsc,423123,true
unspsc,431915,true
unspsc,431916,true
unspsc,432014,true
unspsc,432015,true
unspsc,432016,true
unspsc,432018,true
unspsc,432019,true
unspsc,432020,true
unspsc,432021,true
unspsc,432022,true
unspsc,432115,true
unspsc,432116,true
unspsc,432117,true
unspsc,432118,true
unspsc,432119,true
unspsc,432120,true
unspsc,432121,true
unspsc,432217,true
unspsc,432218,true
unspsc,432225,true
unspsc,432226,true
unspsc,432228,true
unspsc,432229,true
unspsc,432231,true
unspsc,432315,true
unspsc,432316,true
unspsc,432321,true
unspsc,432322,true
unspsc,432323,true
unspsc,432324,true
unspsc,432326,true
unspsc,432327,true
unspsc,432328,true
unspsc,432329,true
unspsc,432330,true
unspsc,432332,true
unspsc,432334,true
unspsc,432335,true
unspsc,441015,true
unspsc,441016,true
unspsc,441017,true
unspsc,441018,true
unspsc,441020,true
unspsc,441021,true
unspsc,441022,true
unspsc,441023,true
unspsc,441024,true
unspsc,441025,true
unspsc,441026,true
unspsc,441028,true
unspsc,441029,true
unspsc,441030,true
unspsc,441031,true
unspsc,441032,true
unspsc,441035,true
unspsc,441036,true
unspsc,441115,true
unspsc,441118,true
unspsc,441119,true
unspsc,441120,true
unspsc,441215,true
unspsc,441216,true
unspsc,441217,true
unspsc,441218,true
unspsc,441219,true
unspsc,441220,true
naics_v2002,441221,true
unspsc,451015,true
unspsc,451016,true
unspsc,451017,true
unspsc,451019,true
unspsc,451115,true
unspsc,451116,true
unspsc,451117,true
unspsc,451118,true
unspsc,451119,true
unspsc,451215,true
unspsc,451216,true
unspsc,451217,true
unspsc,451315,true
unspsc,451316,true
unspsc,451317,true
unspsc,461116,true
unspsc,461117,true
unspsc,461316,true
unspsc,461515,true
unspsc,461516,true
unspsc,461615,true
unspsc,461715,true
unspsc,461716,true
unspsc,461815,true
unspsc,461816,true
unspsc,461817,true
unspsc,461818,true
unspsc,461819,true
unspsc,461820,true
unspsc,461821,true
unspsc,461822,true
unspsc,461823,true
unspsc,461824,true
unspsc,461825,true
unspsc,461915,true
unspsc,461916,true
unspsc,471015,true
unspsc,471016,true
unspsc,471115,true
unspsc,471215,true
unspsc,471216,true
unspsc,471217,true
unspsc,471218,true
unspsc,471219,true
unspsc,471315,true
unspsc,471316,true
unspsc,471317,true
unspsc,471318,true
unspsc,471319,true
unspsc,471321,true
unspsc,481015,true
unspsc,481016,true
unspsc,481018,true
unspsc,481021,true
unspsc,481110,true
naics_v2002,481111,true
unspsc,481213,true
unspsc,491016,true
unspsc,491017,true
unspsc,491615,true
unspsc,492016,true
unspsc,492215,true
unspsc,501016,true
unspsc,501317,true
unspsc,501615,true
unspsc,501718,true
unspsc,501819,true
unspsc,501820,true
unspsc,501921,true
unspsc,501927,true
unspsc,501929,true
unspsc,502017,true
unspsc,502022,true
unspsc,502023,true
unspsc,502024,true
unspsc,502211,true
unspsc,511027,true
unspsc,511316,true
unspsc,511318,true
unspsc,511420,true
unspsc,511421,true
unspsc,511618,true
unspsc,511715,true
unspsc,511815,true
unspsc,511824,true
unspsc,511918,true
unspsc,521015,true
unspsc,521215,true
unspsc,521217,true
unspsc,521315,true
unspsc,521316,true
unspsc,521415,true
unspsc,521418,true
unspsc,521515,true
unspsc,521516,true
unspsc,521517,true
unspsc,521520,true
unspsc,521521,true
unspsc,521615,true
unspsc,521616,true
unspsc,531015,true
unspsc,531016,true
unspsc,531018,true
unspsc,531019,true
unspsc,531021,true
unspsc,531025,true
unspsc,531027,true
unspsc,531029,true
unspsc,531030,true
unspsc,531031,true
unspsc,531115,true
unspsc,531116,true
unspsc,531119,true
unspsc,531120,true
unspsc,531121,true
unspsc,531215,true
unspsc,531216,true
unspsc,531217,true
unspsc,531218,true
unspsc,531316,true
unspsc,541115,true
unspsc,541116,true
unspsc,551015,true
unspsc,551115,true
unspsc,551116,true
unspsc,551215,true
unspsc,551216,true
unspsc,551217,true
unspsc,551218,true
unspsc,551219,true
unspsc,561015,true
unspsc,561016,true
unspsc,561017,true
unspsc,561019,true
unspsc,561115,true
unspsc,561116,true
unspsc,561117,true
unspsc,561118,true
unspsc,561119,true
unspsc,561120,true
unspsc,561121,true
unspsc,561122,true
unspsc,561212,true
unspsc,561213,true
unspsc,561214,true
unspsc,561215,true
unspsc,561217,true
unspsc,561220,true
unspsc,561316,true
unspsc,561317,true
unspsc,601012,true
unspsc,601013,true
unspsc,601014,true
unspsc,601023,true
unspsc,601027,true
unspsc,601042,true
unspsc,601045,true
unspsc,601048,true
unspsc,601049,true
unspsc,601053,true
unspsc,601057,true
unspsc,601058,true
unspsc,601060,true
unspsc,601062,true
unspsc,601110,true
unspsc,601111,true
unspsc,601112,true
unspsc,601113,true
unspsc,601210,true
unspsc,601211,true
unspsc,601212,true
unspsc,601213,true
unspsc,601214,true
unspsc,601216,true
unspsc,601217,true
unspsc,601219,true
unspsc,601220,true
unspsc,601225,true
unspsc,601227,true
unspsc,601230,true
unspsc,601244,true
unspsc,601310,true
unspsc,601410,true
unspsc,601412,true
unspsc,701115,true
unspsc,701116,true
unspsc,701316,true
unspsc,701317,true
unspsc,701717,true
unspsc,701718,true
unspsc,711017,true
unspsc,711120,true
naics_v2002,711211,true
unspsc,711222,true
unspsc,711225,true
unspsc,711227,true
unspsc,711314,true
unspsc,711511,true
unspsc,711513,true
unspsc,711514,true
unspsc,721015,true
unspsc,721016,true
unspsc,721017,true
unspsc,721018,true
unspsc,721019,true
unspsc,721020,true
unspsc,721021,true
unspsc,721022,true
unspsc,721023,true
unspsc,721024,true
unspsc,721025,true
unspsc,721026,true
unspsc,721027,true
unspsc,721028,true
unspsc,721029,true
unspsc,721030,true
unspsc,721316,true
unspsc,721317,true
unspsc,731015,true
unspsc,731016,true
unspsc,731017,true
unspsc,731018,true
unspsc,731019,true
unspsc,731115,true
unspsc,731215,true
unspsc,731216,true
unspsc,731319,true
unspsc,731515,true
unspsc,731516,true
unspsc,731517,true
unspsc,731518,true
unspsc,731519,true
unspsc,731521,true
unspsc,731615,true
unspsc,731616,true
unspsc,731715,true
unspsc,731716,true
unspsc,731810,true
unspsc,731811,true
unspsc,731812,true
unspsc,731813,true
unspsc,731819,true
unspsc,761016,true
unspsc,761115,true
unspsc,761116,true
unspsc,761117,true
unspsc,761118,true
unspsc,761215,true
unspsc,761216,true
unspsc,761217,true
unspsc,761218,true
unspsc,761219,true
unspsc,761316,true
unspsc,761317,true
unspsc,771015,true
unspsc,771016,true
unspsc,771017,true
unspsc,771018,true
unspsc,771115,true
unspsc,771116,true
unspsc,771215,true
unspsc,771216,true
unspsc,771217,true
unspsc,771315,true
unspsc,771316,true
unspsc,771317,true
unspsc,781015,true
unspsc,781016,true
unspsc,781017,true
unspsc,781018,true
unspsc,781019,true
unspsc,781021,true
unspsc,781022,true
unspsc,781115,true
unspsc,781118,true
unspsc,781215,true
unspsc,781216,true
unspsc,781316,true
unspsc,781317,true
unspsc,781318,true
unspsc,781415,true
unspsc,781416,true
unspsc,781801,true
unspsc,781802,true
unspsc,781803,true
unspsc,801015,true
unspsc,801016,true
unspsc,801115,true
unspsc,801116,true
unspsc,801117,true
unspsc,801216,true
unspsc,801315,true
unspsc,801316,true
unspsc,801318,true
unspsc,801415,true
unspsc,801416,true
unspsc,801417,true
unspsc,801418,true
unspsc,801419,true
unspsc,801615,true
unspsc,801616,true
unspsc,811015,true
unspsc,811016,true
unspsc,811017,true
unspsc,811018,true
unspsc,811019,true
