"UTF-8"
UniqueName,Name
"IA_CBS_CN_S400","e-Invoicing Approver CRDC"
"FS_CBS_CN_S700","Foreign Shipment Approver PSEW"
"CI_CBS_CN_S400","Capital Approver S400"
"Category Template Manager","Category Template Manager"
"Accounts Payable (mfg1-DX)","Accounts Payable (DX)"
"Accounts Payable (mfg1-NA)","Accounts Payable (NA)"
"IR Error Handler (UK)","IR Error Handler (UK)"
"Report All","Report All"
"Surrogate Bidder","Surrogate Bidder"
"Internal","Internal"
"Analysis Administrator","Analysis Administrator"
"Supplier Manager","Supplier Manager"
"ClassifiedAccess","Classified Access"
"ACW Sales Contract Authorized","ACW Sales Contract Authorized"
"ACW Authorized","ACW Authorized"
"TeamMemberPassive","Team Member with Limited Access"
"Event Administrator","Event Administrator"
"Contract Authorized","Contract Authorized"
"Senior Analyst","Senior Analyst"
"Sourcing Manager","Sourcing Manager"
"Access Participants Messages","Access Participants Messages"
"SPM Authorized","SPM Authorized"
"Legal","Legal"
"SV Data File Manager","SV Data File Manager"
"SV Supplier Diversity Analyst","SV Supplier Diversity Analyst"
"CustomerDashboardAdmin","Customer Dashboard Admin"
"Sales Contract Agent","Sales Contract Agent"
"SV Senior Analyst","SV Senior Analyst"
"Buyer","Buyer"
"Sales Contract Request Agent","Sales Contract Request Agent"
"Category Management","Category Management"
"TeamMemberObserver","Observer Team Member"
"Reporting","Reporting"
"ACM Administrator","ACM Administrator"
"Administrator","Administrator"
"Document Signer","Document Signer"
"Sales Contract Administrator","Sales Contract Administrator"
"SV CCR Reviewer","SV CCR Reviewer"
"AML Editor","AML Editor"
"Sourcing Authorized","Sourcing Authorized"
"View Audit Logs","View Audit Logs"
"Junior SPM Manager","Junior SPM Manager"
"Sales Contract Manager","Sales Contract Manager"
"Currency Manager","Currency Manager"
"Analyst","Analyst"
"aribasystem","aribasystem"
"SV Project Manager","SV Project Manager"
"BatchDataPost","Batch Data Post"
"ProjectManager","Project Owner"
"TeamMemberActive","Active Team Member"
"DeletedDocumentsAccess","Deleted Documents Access"
"SV Validator","SV Validator"
"Commodity Code Manager","Commodity Code Manager"
"SPM Manager","SPM Manager"
"External","External"
"Translator","Translator"
"Finance","Finance"
"Sales Contract Authorized","Sales Contract Authorized"
"Create Scenarios","Create Scenarios"
"Management Reports","Management Reports"
"SV Opportunity Analyst","SV Opportunity Analyst"
"BatchDataNotify","Batch Data Notifications"
"Expense Receipt Manager","Expense Receipt Manager"
"PCard Manager","PCard Manager"
"CR_CBS_CN_S200","Central Receiving PPST"
"Cross-Dock Receiving","Cross-Dock Receiving"
"CR_CBS_CN_WJ00_WJ04","Central Receiving - CCMC Pump Plant"
"CR_CBS_CN_NN00","Central Receiving NN00"
"BR_CBS_MX_XY00","Broker Approver"
"BR_CBS_MX_ME00","Broker Approver"
"BR_CBS_MX_8900","Broker Approver"
"CR_CBS_CN_S700","Central Receiving PSEW"
"CR_MACH1_US_1885","CPPI Receiving"
"CR_CBS_CN_JJ00","Central Receiving JJ00"
"CR_CBS_CN_XJ00","Central Receiving XJ00"
"CR_CBS_CN_WJ00_WJ03","Central Receiving - CCMC Cab Plant"
"CR_CBS_CN_HB00","Central Receiving HB00"
"CR_CBS_CN_WJ00_WJ02","Central Receiving - CCMC Valve Plant"
"CR_CBS_CN_WJ00_WJ05","Central Receiving - CCMC Cylinder Plant"
"CR_CBS_CN_WJ00_WJ01","Central Receiving - CCMC Hose Plant"
"BR_CBS_MX_MC00","Broker Approver"
"SR_MACH1_US_1000_UJ01","SR_MACH1_US_1000_UJ01"
"SR_MACH1_US_1000_UJ00","SR_MACH1_US_1000_UJ00"
"SR_MACH1_US_1000_UJ02","SR_MACH1_US_1000_UJ02"
"Expense Violation Manager","Expense Violation Manager"
"Invoice Administrator","Invoice Administrator"
"Invoice Agent","Invoice Agent"
"Payment Administrator","Payment Administrator"
"Payment Manager","Payment Manager"
"Buyer Administrator","Buyer Administrator"
"Tax Manager","Tax Manager"
"Purchasing Manager","Purchasing Manager"
"Purchasing Administrator","Purchasing Administrator"
"PCard Administrator","PCard Administrator"
"Catalog Manager","Catalog Manager"
"Contract Agent","Contract Agent"
"CustomerUserAdmin","Customer User Admin"
"Category Manager","Category Manager"
"Expense Manager","Expense Manager"
"Contract Manager","Contract Manager"
"Contract Administrator","Contract Administrator"
"CR_CBS_MX_MC00","Site Receiver"
"CR_CBS_MX_XY00","Site Receiver"
"CR_CBS_MX_8900","Site Receiver"
"CR_CBS_MX_ME00","Site Receiver"
"Lagrange Receiving","Lagrange Receiving"
"Danville Receiving","Danville Receiving"
"Franklin Receiving","Franklin Receiving"
"AD Receiving","AD Receiving"
"Dyersburg Receiving","Dyersburg Receiving"
"Boonville Receiving","Boonville Receiving"
"BCP Receiving","BCP Receiving"
"AB Receiving","AB Receiving"
"Lafayette Receiving","Lafayette Receiving"
"Aurora Receiving","Aurora Receiving"
"Houston Receiving","Houston Receiving"
"Central Receiving","Central Receiving"
"Greenville Receiving","Greenville Receiving"
"CAO Joliet Receiving","CAO Joliet Receiving"
"Mapleton Receiving","Mapleton Receiving"
"CDI Receiving","CDI Receiving"
"Morton Receiving","Morton Receiving"
